id,user_id,status,payment_method,payment_status,total_pkr,delivery_address,tracking_id,created_at,updated_at
ord_001,usr_001,CONFIRMED,CARD,PAID,5050,"Address 1, City",TRK-1001,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_002,usr_002,CONFIRMED,COD,PENDING,5100,"Address 2, City",TRK-1002,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_003,usr_003,PENDING,CARD,PAID,5150,"Address 3, City",TRK-1003,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_004,usr_004,CONFIRMED,COD,PENDING,5200,"Address 4, City",TRK-1004,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_005,usr_005,CONFIRMED,CARD,PAID,5250,"Address 5, City",TRK-1005,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_006,usr_006,PENDING,COD,PENDING,5300,"Address 6, City",TRK-1006,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_007,usr_007,CONFIRMED,CARD,PAID,5350,"Address 7, City",TRK-1007,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_008,usr_008,CONFIRMED,COD,PENDING,5400,"Address 8, City",TRK-1008,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_009,usr_009,PENDING,CARD,PAID,5450,"Address 9, City",TRK-1009,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_010,usr_010,CONFIRMED,COD,PENDING,5500,"Address 10, City",TRK-1010,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_011,usr_011,CONFIRMED,CARD,PAID,5550,"Address 11, City",TRK-1011,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_012,usr_012,PENDING,COD,PENDING,5600,"Address 12, City",TRK-1012,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_013,usr_013,CONFIRMED,CARD,PAID,5650,"Address 13, City",TRK-1013,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_014,usr_014,CONFIRMED,COD,PENDING,5700,"Address 14, City",TRK-1014,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_015,usr_015,PENDING,CARD,PAID,5750,"Address 15, City",TRK-1015,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ord_016,usr_016,CONFIRMED,COD,PENDING,5800,"Address 16, City",TRK-1016,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
