id,email,full_name,password,google_id,auth_provider,role,brand_id,created_at,updated_at
usr_admin,admin@broady.test,Broady Admin,hashed_pwd,,LOCAL,ADMIN,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_001,manager1@brand1.test,Manager 1,hashed_pwd,,LOCAL,BRAND,br_001,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_002,manager2@brand2.test,Manager 2,hashed_pwd,,LOCAL,BRAND,br_002,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_003,manager3@brand3.test,Manager 3,hashed_pwd,,LOCAL,BRAND,br_003,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_004,manager4@brand4.test,Manager 4,hashed_pwd,,LOCAL,BRAND,br_004,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_005,manager5@brand5.test,Manager 5,hashed_pwd,,LOCAL,BRAND,br_005,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_006,manager6@brand6.test,Manager 6,hashed_pwd,,LOCAL,BRAND,br_006,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_007,manager7@brand7.test,Manager 7,hashed_pwd,,LOCAL,BRAND,br_007,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_008,manager8@brand8.test,Manager 8,hashed_pwd,,LOCAL,BRAND,br_008,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_009,manager9@brand9.test,Manager 9,hashed_pwd,,LOCAL,BRAND,br_009,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_010,manager10@brand10.test,Manager 10,hashed_pwd,,LOCAL,BRAND,br_010,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_011,manager11@brand11.test,Manager 11,hashed_pwd,,LOCAL,BRAND,br_011,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_012,manager12@brand12.test,Manager 12,hashed_pwd,,LOCAL,BRAND,br_012,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_013,manager13@brand13.test,Manager 13,hashed_pwd,,LOCAL,BRAND,br_013,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_014,manager14@brand14.test,Manager 14,hashed_pwd,,LOCAL,BRAND,br_014,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_015,manager15@brand15.test,Manager 15,hashed_pwd,,LOCAL,BRAND,br_015,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_016,manager16@brand16.test,Manager 16,hashed_pwd,,LOCAL,BRAND,br_016,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_017,manager17@brand17.test,Manager 17,hashed_pwd,,LOCAL,BRAND,br_017,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_018,manager18@brand18.test,Manager 18,hashed_pwd,,LOCAL,BRAND,br_018,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_019,manager19@brand19.test,Manager 19,hashed_pwd,,LOCAL,BRAND,br_019,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_020,manager20@brand20.test,Manager 20,hashed_pwd,,LOCAL,BRAND,br_020,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_021,manager21@brand21.test,Manager 21,hashed_pwd,,LOCAL,BRAND,br_021,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_022,manager22@brand22.test,Manager 22,hashed_pwd,,LOCAL,BRAND,br_022,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_023,manager23@brand23.test,Manager 23,hashed_pwd,,LOCAL,BRAND,br_023,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_024,manager24@brand24.test,Manager 24,hashed_pwd,,LOCAL,BRAND,br_024,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_025,manager25@brand25.test,Manager 25,hashed_pwd,,LOCAL,BRAND,br_025,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_026,manager26@brand26.test,Manager 26,hashed_pwd,,LOCAL,BRAND,br_026,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_027,manager27@brand27.test,Manager 27,hashed_pwd,,LOCAL,BRAND,br_027,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_028,manager28@brand28.test,Manager 28,hashed_pwd,,LOCAL,BRAND,br_028,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_029,manager29@brand29.test,Manager 29,hashed_pwd,,LOCAL,BRAND,br_029,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_030,manager30@brand30.test,Manager 30,hashed_pwd,,LOCAL,BRAND,br_030,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_031,manager31@brand31.test,Manager 31,hashed_pwd,,LOCAL,BRAND,br_031,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_032,manager32@brand32.test,Manager 32,hashed_pwd,,LOCAL,BRAND,br_032,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_033,manager33@brand33.test,Manager 33,hashed_pwd,,LOCAL,BRAND,br_033,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_034,manager34@brand34.test,Manager 34,hashed_pwd,,LOCAL,BRAND,br_034,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_035,manager35@brand35.test,Manager 35,hashed_pwd,,LOCAL,BRAND,br_035,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_036,manager36@brand36.test,Manager 36,hashed_pwd,,LOCAL,BRAND,br_036,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_037,manager37@brand37.test,Manager 37,hashed_pwd,,LOCAL,BRAND,br_037,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_038,manager38@brand38.test,Manager 38,hashed_pwd,,LOCAL,BRAND,br_038,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_039,manager39@brand39.test,Manager 39,hashed_pwd,,LOCAL,BRAND,br_039,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_040,manager40@brand40.test,Manager 40,hashed_pwd,,LOCAL,BRAND,br_040,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_041,manager41@brand41.test,Manager 41,hashed_pwd,,LOCAL,BRAND,br_041,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_042,manager42@brand42.test,Manager 42,hashed_pwd,,LOCAL,BRAND,br_042,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_043,manager43@brand43.test,Manager 43,hashed_pwd,,LOCAL,BRAND,br_043,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_044,manager44@brand44.test,Manager 44,hashed_pwd,,LOCAL,BRAND,br_044,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_045,manager45@brand45.test,Manager 45,hashed_pwd,,LOCAL,BRAND,br_045,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_046,manager46@brand46.test,Manager 46,hashed_pwd,,LOCAL,BRAND,br_046,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_047,manager47@brand47.test,Manager 47,hashed_pwd,,LOCAL,BRAND,br_047,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_048,manager48@brand48.test,Manager 48,hashed_pwd,,LOCAL,BRAND,br_048,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_049,manager49@brand49.test,Manager 49,hashed_pwd,,LOCAL,BRAND,br_049,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_mgr_050,manager50@brand50.test,Manager 50,hashed_pwd,,LOCAL,BRAND,br_050,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_001,user1@example.test,User 1,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_002,user2@example.test,User 2,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_003,user3@example.test,User 3,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_004,user4@example.test,User 4,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_005,user5@example.test,User 5,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_006,user6@example.test,User 6,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_007,user7@example.test,User 7,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_008,user8@example.test,User 8,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_009,user9@example.test,User 9,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_010,user10@example.test,User 10,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_011,user11@example.test,User 11,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_012,user12@example.test,User 12,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_013,user13@example.test,User 13,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_014,user14@example.test,User 14,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_015,user15@example.test,User 15,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_016,user16@example.test,User 16,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_017,user17@example.test,User 17,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_018,user18@example.test,User 18,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_019,user19@example.test,User 19,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_020,user20@example.test,User 20,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_021,user21@example.test,User 21,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_022,user22@example.test,User 22,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_023,user23@example.test,User 23,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_024,user24@example.test,User 24,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_025,user25@example.test,User 25,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_026,user26@example.test,User 26,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_027,user27@example.test,User 27,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_028,user28@example.test,User 28,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_029,user29@example.test,User 29,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_030,user30@example.test,User 30,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_031,user31@example.test,User 31,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_032,user32@example.test,User 32,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_033,user33@example.test,User 33,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_034,user34@example.test,User 34,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_035,user35@example.test,User 35,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_036,user36@example.test,User 36,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_037,user37@example.test,User 37,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_038,user38@example.test,User 38,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_039,user39@example.test,User 39,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_040,user40@example.test,User 40,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_041,user41@example.test,User 41,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_042,user42@example.test,User 42,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_043,user43@example.test,User 43,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_044,user44@example.test,User 44,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_045,user45@example.test,User 45,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_046,user46@example.test,User 46,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_047,user47@example.test,User 47,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_048,user48@example.test,User 48,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_049,user49@example.test,User 49,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_050,user50@example.test,User 50,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_051,user51@example.test,User 51,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_052,user52@example.test,User 52,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_053,user53@example.test,User 53,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_054,user54@example.test,User 54,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_055,user55@example.test,User 55,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_056,user56@example.test,User 56,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_057,user57@example.test,User 57,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_058,user58@example.test,User 58,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_059,user59@example.test,User 59,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_060,user60@example.test,User 60,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_061,user61@example.test,User 61,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_062,user62@example.test,User 62,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_063,user63@example.test,User 63,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_064,user64@example.test,User 64,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_065,user65@example.test,User 65,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_066,user66@example.test,User 66,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_067,user67@example.test,User 67,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_068,user68@example.test,User 68,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_069,user69@example.test,User 69,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_070,user70@example.test,User 70,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_071,user71@example.test,User 71,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_072,user72@example.test,User 72,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_073,user73@example.test,User 73,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_074,user74@example.test,User 74,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_075,user75@example.test,User 75,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_076,user76@example.test,User 76,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_077,user77@example.test,User 77,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_078,user78@example.test,User 78,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_079,user79@example.test,User 79,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_080,user80@example.test,User 80,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_081,user81@example.test,User 81,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
usr_082,user82@example.test,User 82,hashed_pwd,,LOCAL,USER,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
